id,published_at,name,url,alternate_url,professional_roles,salary.from,salary.to,salary.currency,salary.gross,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,employer.name,employer.accredited_it_employer,schedule.name,experience.name,department.name,job_type,intern,junior,middle,senior,lead,net_salary_from_rur,net_salary_to_rur,salary_info,date_published
87310404,2023-10-13T12:38:47+0300,Team Lead Data Science,https://api.hh.ru/vacancies/87310404?host=hh.ru,https://hh.ru/vacancy/87310404,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.773631,37.60558,"Москва, Оружейный переулок, 41",Маяковская,Замоскворецкая,МегаФон,False,Полный день,От 3 до 6 лет,"МегаФон, IT",DS,0,0,0,0,1,,,0,2023-10-13
88570286,2023-10-24T10:39:44+0300,ML engineer (middle\senior),https://api.hh.ru/vacancies/88570286?host=hh.ru,https://hh.ru/vacancy/88570286,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,,,,,,USETECH,True,Полный день,От 3 до 6 лет,,MLE,0,0,1,1,0,,,0,2023-10-24
87686715,2023-10-03T17:57:54+0300,Data Scientist (Sber Campaigning),https://api.hh.ru/vacancies/87686715?host=hh.ru,https://hh.ru/vacancy/87686715,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 3 до 6 лет,Сбер для экспертов,DS,0,0,1,1,0,,,0,2023-10-03
88355801,2023-10-27T17:50:29+0300,ML инженер (GigaChat),https://api.hh.ru/vacancies/88355801?host=hh.ru,https://hh.ru/vacancy/88355801,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 3 до 6 лет,Сбер для экспертов,MLE,0,0,1,1,0,,,0,2023-10-27
87769746,2023-10-26T11:13:11+0300,Python developer / Data Scientist (Разработчик Python (нейронные сети) и баз данных),https://api.hh.ru/vacancies/87769746?host=hh.ru,https://hh.ru/vacancy/87769746,"[{'id': '96', 'name': 'Программист, разработчик'}]",250000.0,,RUR,False,55.720905,37.600729,"Москва, Ленинский проспект, 15А",Шаболовская,Калужско-Рижская,Группа Компаний ВестЛинк,False,Удаленная работа,От 3 до 6 лет,,DS,0,0,1,1,0,250000.0,,1,2023-10-26
88055867,2023-10-11T16:24:50+0300,"Преподаватель data science и машинного обучения (удаленная работа, факультет компьютерных наук)",https://api.hh.ru/vacancies/88055867?host=hh.ru,https://hh.ru/vacancy/88055867,"[{'id': '132', 'name': 'Учитель, преподаватель, педагог'}]",,,,,,,,,,Национальный исследовательский университет Высшая школа экономики,False,Полный день,От 1 года до 3 лет,,DS,0,1,1,0,0,,,0,2023-10-11
82682774,2023-10-16T08:46:22+0300,Data Scientist,https://api.hh.ru/vacancies/82682774?host=hh.ru,https://hh.ru/vacancy/82682774,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер. IT,DS,0,1,1,0,0,,,0,2023-10-16
87559225,2023-09-30T22:41:18+0300,Data Scientist Модели CRM (Middle),https://api.hh.ru/vacancies/87559225?host=hh.ru,https://hh.ru/vacancy/87559225,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",,,,,,,,,,"Иннотех, Группа компаний",False,Удаленная работа,От 3 до 6 лет,,MLE or DS,0,0,1,0,0,,,0,2023-09-30
88605008,2023-10-24T19:57:22+0300,Data Scientist (Модели CRM),https://api.hh.ru/vacancies/88605008?host=hh.ru,https://hh.ru/vacancy/88605008,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",,,,,,,,,,"Иннотех, Группа компаний",False,Удаленная работа,От 3 до 6 лет,,DS,0,0,1,1,0,,,0,2023-10-24
88689486,2023-10-26T14:43:05+0300,Machine Learning Lead engineer,https://api.hh.ru/vacancies/88689486?host=hh.ru,https://hh.ru/vacancy/88689486,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.7209554440778,37.6138880476356,"Москва, Шаболовка, 31КБ",Шаболовская,Калужско-Рижская,Специализированный депозитарий ИНФИНИТУМ,False,Удаленная работа,От 3 до 6 лет,,MLE,0,0,0,0,1,,,0,2023-10-26
